Age,Perplexity,Condition
3 Months,913.4061497547633,Zeroshot
3 Months,107.17579440205581,Zeroshot
3 Months,159.19894824713828,Zeroshot
3 Months,4253.499607884966,Zeroshot
3 Months,2020.0778760721482,Zeroshot
3 Months,913.4061497547633,Zeroshot
3 Months,88.64457866252957,Zeroshot
3 Months,123.4587976741959,Zeroshot
3 Months,119.2322287390832,Zeroshot
3 Months,179.35204478687012,Zeroshot
3 Months,6321.470139039241,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,251.93088336401397,Zeroshot
3 Months,814.3872339811136,Zeroshot
3 Months,133.8298546882514,Zeroshot
3 Months,610.0988228947541,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,1289.5152312016553,Zeroshot
3 Months,411.64060943372425,Zeroshot
3 Months,43.77468119773051,Zeroshot
3 Months,243.91015635609554,Zeroshot
3 Months,3391.175851920891,Zeroshot
3 Months,332.69580208164075,Zeroshot
3 Months,1450.5933169005823,Zeroshot
3 Months,121.62481147432105,Zeroshot
3 Months,126.8870099092907,Zeroshot
3 Months,105.88842448599479,Zeroshot
3 Months,1450.5933169005823,Zeroshot
3 Months,40.342060495785155,Zeroshot
3 Months,22.343158703707903,Zeroshot
3 Months,117.79329944827022,Zeroshot
3 Months,71.28054984511516,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,106.69383308094444,Zeroshot
3 Months,251.93088336401397,Zeroshot
3 Months,92.80534421749311,Zeroshot
3 Months,4253.499607884966,Zeroshot
3 Months,814.3872339811136,Zeroshot
3 Months,123.4587976741959,Zeroshot
3 Months,70.29092012622817,Zeroshot
3 Months,71.79786444553373,Zeroshot
3 Months,195.89136278688915,Zeroshot
3 Months,70.71636419710984,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,230.87367267404682,Zeroshot
3 Months,130.3211505500456,Zeroshot
3 Months,315.8345516851602,Zeroshot
3 Months,243.91015635609554,Zeroshot
3 Months,1480.1788066189438,Zeroshot
3 Months,53.98389958797353,Zeroshot
3 Months,814.3872339811136,Zeroshot
3 Months,117.55135089738519,Zeroshot
3 Months,466.9548653757304,Zeroshot
3 Months,159.19894824713828,Zeroshot
3 Months,3280.6115789402097,Zeroshot
3 Months,1450.5933169005823,Zeroshot
3 Months,376.336368750697,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,107.664039835486,Zeroshot
3 Months,726.9125288496346,Zeroshot
3 Months,416.2492886213397,Zeroshot
3 Months,6321.470139039241,Zeroshot
3 Months,935.3907134229526,Zeroshot
3 Months,814.3872339811136,Zeroshot
3 Months,88.97993987882678,Zeroshot
3 Months,406.8334053067401,Zeroshot
3 Months,171.182499520137,Zeroshot
3 Months,105.88842448599479,Zeroshot
3 Months,1569.563654650448,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,229.35822701392212,Zeroshot
3 Months,156.0064252511445,Zeroshot
3 Months,63.653590550000736,Zeroshot
3 Months,56.3414088083515,Zeroshot
3 Months,288.763062445202,Zeroshot
3 Months,2083.1349365157243,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,332.3718548628217,Zeroshot
3 Months,446.9786940266455,Zeroshot
3 Months,246.62212889480358,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,5673.353193180149,Zeroshot
3 Months,152.46696889220496,Zeroshot
3 Months,1450.5933169005823,Zeroshot
3 Months,25.870251542592513,Zeroshot
3 Months,32756.299900484202,Zeroshot
3 Months,65.42418495648286,Zeroshot
3 Months,35.43529133353175,Zeroshot
3 Months,225.28290499449588,Zeroshot
3 Months,40.342060495785155,Zeroshot
3 Months,71.28054984511516,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,813.6501289117426,Zeroshot
3 Months,98.36143397468483,Zeroshot
3 Months,1761.6828089060557,Zeroshot
3 Months,11789.771378818761,Zeroshot
3 Months,1289.5152312016553,Zeroshot
3 Months,33737.0374591764,Zeroshot
3 Months,10132.120656354284,Zeroshot
3 Months,3391.175851920891,Zeroshot
3 Months,366655.37680002145,Zeroshot
3 Months,50.5533364331714,Zeroshot
3 Months,1566.5937189080719,Zeroshot
3 Months,133.8298546882514,Zeroshot
3 Months,1450.5933169005823,Zeroshot
3 Months,12.448002796718846,Zeroshot
3 Months,56.259206130221685,Zeroshot
3 Months,388.6830628811448,Zeroshot
3 Months,117.79329944827022,Zeroshot
3 Months,182.6703361325949,Zeroshot
3 Months,121.62481147432105,Zeroshot
3 Months,9405.46276069691,Zeroshot
3 Months,183.12803038310042,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,332.69580208164075,Zeroshot
3 Months,814.3872339811136,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,114.66019444042912,Zeroshot
3 Months,179.35204478687012,Zeroshot
3 Months,2020.0778760721482,Zeroshot
3 Months,22.343158703707903,Zeroshot
3 Months,1112.4625391394252,Zeroshot
3 Months,313.606315734944,Zeroshot
3 Months,56.09251238763349,Zeroshot
3 Months,42.172188738985206,Zeroshot
3 Months,1289.5152312016553,Zeroshot
3 Months,610.0988228947541,Zeroshot
3 Months,561.4332972844896,Zeroshot
3 Months,1289.5152312016553,Zeroshot
3 Months,24.358087774886066,Zeroshot
3 Months,43.77468119773051,Zeroshot
3 Months,230.87367267404682,Zeroshot
3 Months,71.28054984511516,Zeroshot
3 Months,11789.771378818761,Zeroshot
3 Months,88.64457866252957,Zeroshot
3 Months,230.87367267404682,Zeroshot
3 Months,43.77468119773051,Zeroshot
3 Months,332.3718548628217,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,1289.5152312016553,Zeroshot
3 Months,117.79329944827022,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,126.8870099092907,Zeroshot
3 Months,1289.5152312016553,Zeroshot
3 Months,561.4332972844896,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,313.606315734944,Zeroshot
3 Months,72.52125975882335,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,130.3211505500456,Zeroshot
3 Months,42.172188738985206,Zeroshot
3 Months,1569.563654650448,Zeroshot
3 Months,106.69383308094444,Zeroshot
3 Months,935.3907134229526,Zeroshot
3 Months,82.3757127755639,Zeroshot
3 Months,685.6265159975903,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,1566.5937189080719,Zeroshot
3 Months,71.79786444553373,Zeroshot
3 Months,56.259206130221685,Zeroshot
3 Months,913.4061497547633,Zeroshot
3 Months,406.8334053067401,Zeroshot
3 Months,4253.499607884966,Zeroshot
3 Months,6321.470139039241,Zeroshot
3 Months,156.0064252511445,Zeroshot
3 Months,25823.506249327136,Zeroshot
3 Months,3391.175851920891,Zeroshot
3 Months,53.30371513225261,Zeroshot
3 Months,191.80811586642287,Zeroshot
3 Months,332.69580208164075,Zeroshot
3 Months,179.35204478687012,Zeroshot
3 Months,814.3872339811136,Zeroshot
3 Months,133.8298546882514,Zeroshot
3 Months,376.336368750697,Zeroshot
3 Months,78.37051803226602,Zeroshot
3 Months,446.9786940266455,Zeroshot
3 Months,107.664039835486,Zeroshot
3 Months,509.5957592970691,Zeroshot
3 Months,53.98389958797353,Zeroshot
3 Months,288.763062445202,Zeroshot
3 Months,105.88842448599479,Zeroshot
3 Months,447.1735428338741,Zeroshot
3 Months,32756.299900484202,Zeroshot
3 Months,1450.5933169005823,Zeroshot
3 Months,10132.120656354284,Zeroshot
3 Months,123.4587976741959,Zeroshot
3 Months,726.9125288496346,Zeroshot
3 Months,251.93088336401397,Zeroshot
3 Months,107.17579440205581,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,22.343158703707903,Zeroshot
3 Months,70.29092012622817,Zeroshot
3 Months,159.19894824713828,Zeroshot
3 Months,1450.5933169005823,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,1480.1788066189438,Zeroshot
3 Months,366655.37680002145,Zeroshot
3 Months,1289.5152312016553,Zeroshot
3 Months,117.55135089738519,Zeroshot
3 Months,225.28290499449588,Zeroshot
3 Months,411.64060943372425,Zeroshot
3 Months,6321.470139039241,Zeroshot
3 Months,88.97993987882678,Zeroshot
3 Months,1640.9152011903784,Zeroshot
3 Months,246.62212889480358,Zeroshot
3 Months,1060.2352835432962,Zeroshot
3 Months,6321.470139039241,Zeroshot
3 Months,56.3414088083515,Zeroshot
3 Months,813.6501289117426,Zeroshot
3 Months,9405.46276069691,Zeroshot
3 Months,85.54824341012453,Zeroshot
3 Months,114.66019444042912,Zeroshot
3 Months,315.8345516851602,Zeroshot
3 Months,913.4061497547633,Zeroshot
3 Months,1289.5152312016553,Zeroshot
3 Months,195.89136278688915,Zeroshot
3 Months,40.342060495785155,Zeroshot
3 Months,814.3872339811136,Zeroshot
3 Months,63.653590550000736,Zeroshot
3 Months,25.870251542592513,Zeroshot
3 Months,610.0988228947541,Zeroshot
3 Months,33737.0374591764,Zeroshot
3 Months,50.5533364331714,Zeroshot
3 Months,1761.6828089060557,Zeroshot
3 Months,1480.1788066189438,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,121.62481147432105,Zeroshot
3 Months,171.182499520137,Zeroshot
3 Months,416.2492886213397,Zeroshot
3 Months,230.87367267404682,Zeroshot
3 Months,70677.80559914402,Zeroshot
3 Months,119.2322287390832,Zeroshot
6 Months,103096.40887783881,Zeroshot
6 Months,4292.129143924176,Zeroshot
6 Months,76.41979214462137,Zeroshot
6 Months,1289.5152312016553,Zeroshot
6 Months,66.3499779227932,Zeroshot
6 Months,3249.1919494267026,Zeroshot
6 Months,63.177120054443016,Zeroshot
6 Months,1574.4149514065018,Zeroshot
6 Months,108.43982095537255,Zeroshot
6 Months,394.7237410723013,Zeroshot
6 Months,442.924587726585,Zeroshot
6 Months,71.99176399251041,Zeroshot
6 Months,463.25560351338146,Zeroshot
6 Months,202.50523605127006,Zeroshot
6 Months,1524.4509206029336,Zeroshot
6 Months,969.7709761165673,Zeroshot
6 Months,6321.470139039241,Zeroshot
6 Months,3249.1919494267026,Zeroshot
6 Months,119.26208101301611,Zeroshot
6 Months,33737.0374591764,Zeroshot
6 Months,21793.96696782942,Zeroshot
6 Months,1411.200884396716,Zeroshot
6 Months,204.2722608963816,Zeroshot
6 Months,256.742288920378,Zeroshot
6 Months,175.69990698923436,Zeroshot
6 Months,155.7904728918801,Zeroshot
6 Months,701.5925572816064,Zeroshot
6 Months,194.47826631362008,Zeroshot
6 Months,95.97153413909008,Zeroshot
6 Months,5945.345264992623,Zeroshot
6 Months,112.13052785572107,Zeroshot
6 Months,229.97588439567426,Zeroshot
6 Months,2804.16578279851,Zeroshot
6 Months,44.04327621462586,Zeroshot
6 Months,673.8272587449095,Zeroshot
6 Months,3068.0080864322194,Zeroshot
6 Months,6806.686423153288,Zeroshot
6 Months,147.06845112750835,Zeroshot
6 Months,187.92025625904023,Zeroshot
6 Months,70.04610121384697,Zeroshot
6 Months,138.73785164543142,Zeroshot
6 Months,391.2264083161929,Zeroshot
6 Months,4689.910926387762,Zeroshot
6 Months,1077.9621757485916,Zeroshot
6 Months,33737.0374591764,Zeroshot
6 Months,1060.2352835432962,Zeroshot
6 Months,5774.986065210518,Zeroshot
6 Months,156.85139135980137,Zeroshot
6 Months,8526.415258901241,Zeroshot
6 Months,6968.986220990237,Zeroshot
6 Months,423.71510124973435,Zeroshot
6 Months,2051.1528579282485,Zeroshot
6 Months,705.4497244372046,Zeroshot
6 Months,753.8609247045335,Zeroshot
6 Months,3398.6969414976584,Zeroshot
6 Months,10377.452960384326,Zeroshot
6 Months,502.8150824304275,Zeroshot
6 Months,3065.2034497376894,Zeroshot
6 Months,1275.5236505893652,Zeroshot
6 Months,21911.79905743799,Zeroshot
6 Months,113.28422013524602,Zeroshot
6 Months,338.30146832329257,Zeroshot
6 Months,70677.80559914402,Zeroshot
6 Months,938.3051378126055,Zeroshot
6 Months,14694.59283742767,Zeroshot
6 Months,219.377249144845,Zeroshot
6 Months,20674.769056960708,Zeroshot
6 Months,6321.470139039241,Zeroshot
6 Months,184.27895903386246,Zeroshot
6 Months,63008.40966910995,Zeroshot
6 Months,572.1389741531344,Zeroshot
6 Months,3393.3401399861445,Zeroshot
6 Months,6749.910901795175,Zeroshot
6 Months,12.513875443991946,Zeroshot
6 Months,111.41814709477971,Zeroshot
6 Months,361.27135938849085,Zeroshot
6 Months,528.8600387040847,Zeroshot
6 Months,7514.438090812983,Zeroshot
6 Months,3249.1919494267026,Zeroshot
6 Months,49.35565660579875,Zeroshot
6 Months,3466.1731543387846,Zeroshot
6 Months,101.0459449164193,Zeroshot
6 Months,181.6625457305431,Zeroshot
6 Months,1289.5152312016553,Zeroshot
6 Months,772.1843583258641,Zeroshot
6 Months,2377.8500243717203,Zeroshot
6 Months,938.3051378126055,Zeroshot
6 Months,170.63427995761626,Zeroshot
6 Months,8526.415258901241,Zeroshot
6 Months,202.75065217519997,Zeroshot
6 Months,3249.1919494267026,Zeroshot
6 Months,18.921535220203104,Zeroshot
6 Months,1569.563654650448,Zeroshot
6 Months,107.94023372323377,Zeroshot
6 Months,23.21703450763501,Zeroshot
6 Months,1480.1788066189438,Zeroshot
6 Months,3633.5784891207118,Zeroshot
6 Months,191.15491693762314,Zeroshot
6 Months,172.74728040013585,Zeroshot
6 Months,62.39822413798914,Zeroshot
6 Months,999.6377653089093,Zeroshot
6 Months,1843.2141153505502,Zeroshot
6 Months,34.78904637771987,Zeroshot
6 Months,2281.524772787874,Zeroshot
6 Months,4391.308420455243,Zeroshot
6 Months,118.90978961788186,Zeroshot
6 Months,1289.5152312016553,Zeroshot
6 Months,241.66976653501771,Zeroshot
6 Months,39.405170078799514,Zeroshot
6 Months,149.64502240035125,Zeroshot
6 Months,3249.1919494267026,Zeroshot
6 Months,1864.057611835144,Zeroshot
6 Months,1405.321811161519,Zeroshot
6 Months,95.99666120156341,Zeroshot
6 Months,2804.16578279851,Zeroshot
6 Months,60.17489447004061,Zeroshot
6 Months,52.29400626558144,Zeroshot
6 Months,869.9788115497395,Zeroshot
6 Months,17.23320827163927,Zeroshot
6 Months,45.85061766166872,Zeroshot
6 Months,4154.1947827259855,Zeroshot
6 Months,147.06845112750835,Zeroshot
6 Months,1226.7222795212683,Zeroshot
6 Months,26.32422069279993,Zeroshot
6 Months,2054.1802476916014,Zeroshot
6 Months,1450.5933169005823,Zeroshot
6 Months,32.600015790732904,Zeroshot
6 Months,3859.589231317404,Zeroshot
6 Months,207993.1111465934,Zeroshot
6 Months,103.2116949041996,Zeroshot
6 Months,2790.127740789698,Zeroshot
6 Months,70.71636419710984,Zeroshot
6 Months,38.73945859886347,Zeroshot
6 Months,1973.3872689757486,Zeroshot
6 Months,166.687104809255,Zeroshot
6 Months,1680.527806365848,Zeroshot
6 Months,383.77010111438904,Zeroshot
6 Months,102.6789423666511,Zeroshot
6 Months,1289.5152312016553,Zeroshot
6 Months,389.96512052294287,Zeroshot
6 Months,37.227138004106806,Zeroshot
6 Months,392.41860491701186,Zeroshot
6 Months,3137.395934527325,Zeroshot
6 Months,41.95094579676249,Zeroshot
6 Months,4916.062647078448,Zeroshot
6 Months,53.11780831454832,Zeroshot
6 Months,44.87089548960497,Zeroshot
6 Months,2483.668569959804,Zeroshot
6 Months,2840.4448215519765,Zeroshot
6 Months,3249.1919494267026,Zeroshot
6 Months,2136.006430484076,Zeroshot
6 Months,198.36933377435452,Zeroshot
6 Months,1591.4301604048442,Zeroshot
6 Months,694.4885652434918,Zeroshot
6 Months,1220.6178057226118,Zeroshot
6 Months,147.4140953417865,Zeroshot
6 Months,634.0464466513431,Zeroshot
6 Months,125.07215371334478,Zeroshot
6 Months,1289.5152312016553,Zeroshot
6 Months,1289.5152312016553,Zeroshot
6 Months,48.72754789942445,Zeroshot
6 Months,519.8233370899777,Zeroshot
6 Months,1633.7807340391637,Zeroshot
6 Months,194.88124354865357,Zeroshot
6 Months,40.24648146431436,Zeroshot
6 Months,1352.194490722777,Zeroshot
6 Months,117.4127579060893,Zeroshot
6 Months,32756.299900484202,Zeroshot
6 Months,8298.02023712273,Zeroshot
6 Months,62.39822413798914,Zeroshot
6 Months,1574.4149514065018,Zeroshot
6 Months,46.047250083988175,Zeroshot
6 Months,1450.5933169005823,Zeroshot
6 Months,95.9500280360883,Zeroshot
6 Months,3249.1919494267026,Zeroshot
6 Months,239.21212529456255,Zeroshot
6 Months,21512.714721036376,Zeroshot
6 Months,1073.4805911361232,Zeroshot
6 Months,9995.882253995007,Zeroshot
6 Months,1289.5152312016553,Zeroshot
6 Months,208.35997937209882,Zeroshot
6 Months,2804.16578279851,Zeroshot
6 Months,1289.5152312016553,Zeroshot
6 Months,215.22173356976427,Zeroshot
6 Months,2358.454598227301,Zeroshot
6 Months,6850.21980026624,Zeroshot
6 Months,256.742288920378,Zeroshot
6 Months,853.8392846241334,Zeroshot
6 Months,531.7693439053081,Zeroshot
6 Months,23727.98515007038,Zeroshot
6 Months,210.22479971767717,Zeroshot
6 Months,315.0196450553972,Zeroshot
6 Months,1450.5933169005823,Zeroshot
